method,task,phase,status
majority,outcome,Phase1,ok
majority,outcome,Phase2,ok
majority,outcome,Phase3,ok
majority,outcome,Phase4,ok
majority,mortality_rate_yn,Phase1,ok
majority,mortality_rate_yn,Phase2,ok
majority,mortality_rate_yn,Phase3,ok
majority,mortality_rate_yn,Phase4,ok
majority,serious_adverse_rate_yn,Phase1,ok
majority,serious_adverse_rate_yn,Phase2,ok
majority,serious_adverse_rate_yn,Phase3,ok
majority,serious_adverse_rate_yn,Phase4,ok
majority,patient_dropout_rate_yn,Phase1,ok
majority,patient_dropout_rate_yn,Phase2,ok
majority,patient_dropout_rate_yn,Phase3,ok
majority,patient_dropout_rate_yn,Phase4,ok
majority,failure_reason,Phase1,ok
majority,failure_reason,Phase2,ok
majority,failure_reason,Phase3,ok
majority,failure_reason,Phase4,ok
logreg_l1,outcome,Phase1,ok
logreg_l1,outcome,Phase2,ok
logreg_l1,outcome,Phase3,ok
logreg_l1,outcome,Phase4,ok
logreg_l1,mortality_rate_yn,Phase1,ok
logreg_l1,mortality_rate_yn,Phase2,ok
logreg_l1,mortality_rate_yn,Phase3,ok
logreg_l1,mortality_rate_yn,Phase4,ok
logreg_l1,serious_adverse_rate_yn,Phase1,ok
logreg_l1,serious_adverse_rate_yn,Phase2,ok
logreg_l1,serious_adverse_rate_yn,Phase3,ok
logreg_l1,serious_adverse_rate_yn,Phase4,ok
logreg_l1,patient_dropout_rate_yn,Phase1,ok
logreg_l1,patient_dropout_rate_yn,Phase2,ok
logreg_l1,patient_dropout_rate_yn,Phase3,ok
logreg_l1,patient_dropout_rate_yn,Phase4,ok
logreg_l1,failure_reason,Phase1,ok
logreg_l1,failure_reason,Phase2,ok
logreg_l1,failure_reason,Phase3,ok
logreg_l1,failure_reason,Phase4,ok
logreg_l2,outcome,Phase1,ok
logreg_l2,outcome,Phase2,ok
logreg_l2,outcome,Phase3,ok
logreg_l2,outcome,Phase4,ok
logreg_l2,mortality_rate_yn,Phase1,ok
logreg_l2,mortality_rate_yn,Phase2,ok
logreg_l2,mortality_rate_yn,Phase3,ok
logreg_l2,mortality_rate_yn,Phase4,ok
logreg_l2,serious_adverse_rate_yn,Phase1,ok
logreg_l2,serious_adverse_rate_yn,Phase2,ok
logreg_l2,serious_adverse_rate_yn,Phase3,ok
logreg_l2,serious_adverse_rate_yn,Phase4,ok
logreg_l2,patient_dropout_rate_yn,Phase1,ok
logreg_l2,patient_dropout_rate_yn,Phase2,ok
logreg_l2,patient_dropout_rate_yn,Phase3,ok
logreg_l2,patient_dropout_rate_yn,Phase4,ok
logreg_l2,failure_reason,Phase1,ok
logreg_l2,failure_reason,Phase2,ok
logreg_l2,failure_reason,Phase3,ok
logreg_l2,failure_reason,Phase4,ok
svm_linear,outcome,Phase1,ok
svm_linear,outcome,Phase2,ok
svm_linear,outcome,Phase3,ok
svm_linear,outcome,Phase4,ok
svm_linear,mortality_rate_yn,Phase1,ok
svm_linear,mortality_rate_yn,Phase2,ok
svm_linear,mortality_rate_yn,Phase3,ok
svm_linear,mortality_rate_yn,Phase4,ok
svm_linear,serious_adverse_rate_yn,Phase1,ok
svm_linear,serious_adverse_rate_yn,Phase2,ok
svm_linear,serious_adverse_rate_yn,Phase3,ok
svm_linear,serious_adverse_rate_yn,Phase4,ok
svm_linear,patient_dropout_rate_yn,Phase1,ok
svm_linear,patient_dropout_rate_yn,Phase2,ok
svm_linear,patient_dropout_rate_yn,Phase3,ok
svm_linear,patient_dropout_rate_yn,Phase4,ok
svm_linear,failure_reason,Phase1,ok
svm_linear,failure_reason,Phase2,ok
svm_linear,failure_reason,Phase3,ok
svm_linear,failure_reason,Phase4,ok
knn,outcome,Phase1,ok
knn,outcome,Phase2,ok
knn,outcome,Phase3,ok
knn,outcome,Phase4,ok
knn,mortality_rate_yn,Phase1,ok
knn,mortality_rate_yn,Phase2,ok
knn,mortality_rate_yn,Phase3,ok
knn,mortality_rate_yn,Phase4,ok
knn,serious_adverse_rate_yn,Phase1,ok
knn,serious_adverse_rate_yn,Phase2,ok
knn,serious_adverse_rate_yn,Phase3,ok
knn,serious_adverse_rate_yn,Phase4,ok
knn,patient_dropout_rate_yn,Phase1,ok
knn,patient_dropout_rate_yn,Phase2,ok
knn,patient_dropout_rate_yn,Phase3,ok
knn,patient_dropout_rate_yn,Phase4,ok
knn,failure_reason,Phase1,ok
knn,failure_reason,Phase2,ok
knn,failure_reason,Phase3,ok
knn,failure_reason,Phase4,ok
random_forest,outcome,Phase1,ok
random_forest,outcome,Phase2,ok
random_forest,outcome,Phase3,ok
