method,prauc_mean,ci_lo,ci_hi
lightgbm,0.684804677507763,0.635156803165916,0.7328501875978446
ft_transformer,0.6817520508805737,0.628410673904344,0.7319356050099702
xgboost,0.6664167297864669,0.6142015007116862,0.7177075087856272
random_forest,0.6660219613421184,0.6140904373425523,0.7164631404680127
tfidf_logreg,0.6615490920571555,0.6079082403792869,0.7152815614647449
logreg_l2,0.6508881355920455,0.5975912738261185,0.6990825897918902
catboost,0.6448416451147169,0.5920668026544756,0.6936261164008427
extra_trees,0.6350814790945931,0.5791958680154371,0.6848524561293446
hist_gbm,0.5989136657334369,0.5476889668704175,0.6511296347629635
knn,0.5970372393445704,0.5434367156121487,0.6483919046980556
