series,text_weight,test_prauc
Trial approval,0.0,0.7070848189242632
Trial approval,0.01,0.7094619803905524
Trial approval,0.02,0.7107853661828089
Trial approval,0.03,0.7121332828124753
Trial approval,0.04,0.7137033191718967
Trial approval,0.05,0.7142345833606888
Trial approval,0.06,0.715500292622126
Trial approval,0.07,0.718137850627842
Trial approval,0.08,0.7191831495434511
Trial approval,0.09,0.7201584302330528
Trial approval,0.1,0.7222190587783902
Trial approval,0.11,0.7233355574711569
Trial approval,0.12,0.7243173226270092
Trial approval,0.13,0.7258586353004497
Trial approval,0.14,0.7271335982858946
Trial approval,0.15,0.7279798162326945
Trial approval,0.16,0.7293493256088845
Trial approval,0.17,0.729874185608351
Trial approval,0.18,0.730966859934827
Trial approval,0.19,0.7315580596929769
Trial approval,0.2,0.732178419140392
Trial approval,0.21,0.7331559059273706
Trial approval,0.22,0.7340356152969683
Trial approval,0.23,0.7350782847398156
Trial approval,0.24,0.7357548057469069
Trial approval,0.25,0.736235336024423
Trial approval,0.26,0.7361687070177343
Trial approval,0.27,0.7360238949503288
Trial approval,0.28,0.7362678385305049
Trial approval,0.29,0.737316695747898
Trial approval,0.3,0.7370457919501097
Trial approval,0.31,0.7373918218217665
Trial approval,0.32,0.7372877862065921
Trial approval,0.33,0.736761445576009
Trial approval,0.34,0.7363150312866744
Trial approval,0.35,0.7357863419283741
Trial approval,0.36,0.7359083539083873
Trial approval,0.37,0.735110843987127
Trial approval,0.38,0.7345121073862444
Trial approval,0.39,0.7340977243570764
Trial approval,0.4,0.7337716385175821
Trial approval,0.41,0.7331297540603553
Trial approval,0.42,0.7328202198271037
Trial approval,0.43,0.7322009916119037
Trial approval,0.44,0.7315249076897353
Trial approval,0.45,0.7305498923864344
Trial approval,0.46,0.729132700061828
Trial approval,0.47,0.7283227714299568
Trial approval,0.48,0.72733019331319
Trial approval,0.49,0.7265557006198904
Trial approval,0.5,0.7250260010660576
Trial approval,0.51,0.7245547169158809
Trial approval,0.52,0.723509013597524
Trial approval,0.53,0.7227076266472326
Trial approval,0.54,0.7215462529078338
Trial approval,0.55,0.7205016385355363
Trial approval,0.56,0.7197604132055238
