method,published_mean,common_cell_mean
tfidf_logreg,0.7112069638876151,0.7601490567036464
ft_transformer,0.7297334744059958,0.7297334744059958
xgboost,0.646489832314341,0.6869809825007667
lightgbm,0.6344920654851108,0.67473310714778
logreg_l2,0.6402719073975283,0.6695086330969846
extra_trees,0.6383648608878154,0.6681617089225598
knn,0.6303305466894534,0.6586953210766905
random_forest,0.627860773268732,0.6504419214794479
hist_gbm,0.5704753287873866,0.5620612307301569
catboost,0.5647556408512918,0.543145520173966
svm_linear,0.55098288729232,0.5160401838099848
tabnet,0.511490809092923,0.511490809092923
logreg_l1,0.523406745896741,0.4865453902580278
