task,phase,prevalence,best_prauc,skill_over_chance,best_method
failure_reason,Phase1,0.24999999999999997,0.35824383530852844,0.10824383530852846,tfidf_logreg
failure_reason,Phase2,0.25,0.385746136141099,0.13574613614109898,tfidf_logreg
failure_reason,Phase3,0.25000000000000006,0.4150434924229232,0.16504349242292315,tfidf_logreg
failure_reason,Phase4,0.25,0.30043022575376266,0.05043022575376266,tfidf_logreg
mortality_rate_yn,Phase1,0.26968973747016706,0.8568885698638321,0.587198832393665,tfidf_logreg
mortality_rate_yn,Phase2,0.45875,0.8525169659504989,0.39376696595049887,tfidf_logreg
mortality_rate_yn,Phase3,0.4846560846560847,0.8523057755627785,0.36764969090669386,tfidf_logreg
mortality_rate_yn,Phase4,0.17465753424657535,0.5036828190698236,0.3290252848232482,tfidf_logreg
outcome,Phase1,0.43080357142857145,0.684804677507763,0.2540011060791915,lightgbm
outcome,Phase2,0.36833731105807477,0.6056397595846366,0.2373024485265618,xgboost
outcome,Phase3,0.5551489806586514,0.8242641068980768,0.26911512623942546,tfidf_logreg
outcome,Phase4,0.40022421524663676,0.7326559670200125,0.3324317517733757,ft_transformer
patient_dropout_rate_yn,Phase1,0.5900339750849377,0.7985534274263002,0.2085194523413625,tfidf_logreg
patient_dropout_rate_yn,Phase2,0.7678684376976597,0.8767060191949633,0.1088375814973036,tfidf_logreg
patient_dropout_rate_yn,Phase3,0.910377358490566,0.9650716264884199,0.05469426799785393,tfidf_logreg
patient_dropout_rate_yn,Phase4,0.7045454545454546,0.8541957230866645,0.14965026854120989,tfidf_logreg
serious_adverse_rate_yn,Phase1,0.4343675417661098,0.9088810875528796,0.47451354578676974,tfidf_logreg
serious_adverse_rate_yn,Phase2,0.745625,0.9227887487696871,0.1771637487696871,tfidf_logreg
serious_adverse_rate_yn,Phase3,0.8465608465608465,0.970281286154905,0.12372043959405854,tfidf_logreg
serious_adverse_rate_yn,Phase4,0.3852739726027397,0.6983769387382709,0.3131029661355312,tfidf_logreg
