task,phase,nct_id,condition_terms,chapter_shipped,chapter_remapped,chapter_jaccard,char3_shipped,char3_remapped,char3_jaccard,full_shipped,full_remapped,full_jaccard,adjudication_note
patient_dropout_rate_yn,Phase3,NCT03746522,Alström Syndrome (AS); Bardet Biedl Syndrome (BBS),"D50-D89,E00-E89","G00-G99,Q00-QA0",0.0,"D68,D69,D81,E24,E26,E34","G12,Q87",0.0,"D68.61,D69.41,D81.4,E24.1,E26.01,E26.81,E34.0","G12.21,Q87.83",0.0,
mortality_rate_yn,Phase4,NCT03506724,Hypertension in Pregnancy; Preeclampsia,O00-O9A,O00-O9A,1.0,O14,"O15,O16",0.0,"O14.10,O14.12,O14.13,O14.14,O14.90,O14.92,O14.93","O15,O16",0.0,
outcome,Phase3,NCT01777152,Anaplastic Large-Cell Lymphoma; Non-Hodgkin Lymphoma; T-Cell Lymphoma,S00-T88,C00-D49,0.0,S33,"C84,C85",0.0,"S33.110S,S33.111S,S33.120S,S33.121S,S33.130S,S33.131S,S33.140S","C84.6,C84.A,C85.9",0.0,
patient_dropout_rate_yn,Phase4,NCT01248468,"Pain, Migraine",,G00-G99,0.0,,G43,0.0,,G43,0.0,
outcome,Phase3,NCT02247479,Geographic Atrophy,K00-K95,L00-L99,0.0,K14,L63,0.0,K14.1,L63,0.0,
patient_dropout_rate_yn,Phase4,NCT01267279,Osteoporosis,"M00-M99,Z00-Z99",Q00-QA0,0.0,"M80,M81,Z13,Z82,Z87",Q78,0.0,"M80.80XS,M81.0,M81.6,M81.8,Z13.820,Z82.62,Z87.310",Q78.2,0.0,
patient_dropout_rate_yn,Phase2,NCT01496365,Diabetic Peripheral Neuropathy,"A00-B99,H00-H59,H60-H95,I00-I99",E00-E89,0.0,"A18,H11,H18,H35,H81,I73",E10,0.0,"A18.2,H11.043,H11.053,H18.463,H35.40,H81.393,I73.9",E10.42,0.0,
failure_reason,Phase1,NCT03742349,Triple Negative Breast Cancer (TNBC),C00-D49,Z00-Z99,0.0,"C44,C79,D24,D48,D49",Z17,0.0,"C44.501,C79.81,D24.1,D24.2,D24.9,D48.60,D49.3",Z17.22,0.0,
patient_dropout_rate_yn,Phase3,NCT00891176,Haemophilus Influenzae Type b; Neisseria Meningitidis,,A00-B99,0.0,,"A39,A49",0.0,,"A39,A49.2",0.0,
outcome,Phase2,NCT02378935,Hepatitis C Virus Infection,"A00-B99,K00-K95",A00-B99,0.5,"A51,B00,B17,B25,B26,B58,K75",B19,0.0,"A51.45,B00.81,B17.2,B25.1,B26.81,B58.1,K75.4",B19.2,0.0,
outcome,Phase2,NCT01092182,"Burkitt Lymphoma; Diffuse Large B-cell Lymphoma, c-MYC Positive; Plasmablastic Lymphoma",S00-T88,C00-D49,0.0,S33,"C83,C90",0.0,"S33.110S,S33.111S,S33.120S,S33.121S,S33.130S,S33.131S,S33.140S","C83.38,C83.7,C90.1",0.0,
serious_adverse_rate_yn,Phase2,NCT03023878,High-risk Diffuse Large B-Cell Lymphoma,,C00-D49,0.0,,C83,0.0,,C83.30,0.0,
serious_adverse_rate_yn,Phase4,NCT02945150,Renal Failure,"I00-I99,O00-O9A,P00-P96",N00-N99,0.0,"I13,O03,O04,O07,O08,P96",N19,0.0,"I13.11,O03.32,O03.82,O04.82,O07.32,O08.4,P96.0",N19,0.0,
patient_dropout_rate_yn,Phase3,NCT03974932,Analgesia,P00-P96,R00-R99,0.0,P04,R52,0.0,P04.0,R52,0.0,
outcome,Phase2,NCT00220103,Adenocarcinoma of Oesophagus,,C00-D49,0.0,,C15,0.0,,C15,0.0,
patient_dropout_rate_yn,Phase3,NCT02492165,Japanese Encephalitis,,A00-B99,0.0,,A83,0.0,,A83.0,0.0,
serious_adverse_rate_yn,Phase2,NCT03425396,Cystitis; Uncomplicated Urinary Tract Infection,,N00-N99,0.0,,"N30,N39",0.0,,"N30,N39.0",0.0,
patient_dropout_rate_yn,Phase3,NCT02671500,Hepatitis C Virus Infection,"A00-B99,K00-K95",A00-B99,0.5,"A51,B00,B17,B25,B26,B58,K75",B19,0.0,"A51.45,B00.81,B17.2,B25.1,B26.81,B58.1,K75.4",B19.2,0.0,
serious_adverse_rate_yn,Phase2,NCT01266460,"Cervical Adenocarcinoma; Cervical Adenosquamous Carcinoma; Cervical Squamous Cell Carcinoma, Not Otherwise Specified; Recurrent Cervical Carcinoma",C00-D49,C00-D49,1.0,"C22,C4A,C7B,D09","C44,C53,C95",0.0,"C22.0,C22.1,C4A.0,C4A.31,C4A.9,C7B.1,D09.9","C44.42,C44.92,C53,C95.12",0.0,
serious_adverse_rate_yn,Phase3,NCT00955682,"Infections, Meningococcal",,A00-B99,0.0,,A39,0.0,,A39,0.0,
failure_reason,Phase2,NCT03587129,Ovarian Cancer,C00-D49,C00-D49,1.0,"C05,C10,C16,C17",C56,0.0,"C05.2,C10.0,C16.0,C16.4,C17.0,C17.1,C17.2",C56,0.0,
failure_reason,Phase4,NCT03018106,"Sexual Dysfunction, Physiological",F01-F99,R00-R99,0.0,F52,R37,0.0,"F52.8,F52.9",R37,0.0,
failure_reason,Phase1,NCT05002114,Musculoskeletal Joint Pain,,M00-M99,0.0,,M25,0.0,,M25.5,0.0,
outcome,Phase2,NCT01277744,Advanced Cancers; Sarcoma,"C00-D49,G00-G99,H00-H59,K00-K95",C00-D49,0.25,"C46,C92,C96,G47,H35,K74",C80,0.0,"C46.0,C46.2,C46.9,C92.31,C92.32,C96.22,C96.A,G47.22,H35.3113,H35.3114,H35.3123,H35.3133,H35.3134,K74.02",C80.1,0.0,
serious_adverse_rate_yn,Phase4,NCT03446690,Orthodontic Treatment; White Spot Lesion,,"H00-H59,Z00-Z99",0.0,,"H35,Z46",0.0,,"H35.33,Z46.4",0.0,
mortality_rate_yn,Phase4,NCT01275339,"Aortic Stenosis; LV Remodeling, Hypertrophy","I00-I99,Q00-QA0","I00-I99,N00-N99",0.3333333333333333,"I06,I35,Q23,Q25","I06,N85",0.2,"I06.0,I06.2,I35.0,I35.2,Q23.0,Q25.3","I06.0,N85.2",0.14285714285714285,
serious_adverse_rate_yn,Phase2,NCT02865811,Fallopian Tube Cancer; Ovarian Cancer; Peritoneal Cancer,"C00-D49,K00-K95,N00-N99,R00-R99,Z00-Z99",C00-D49,0.2,"C05,C10,C16,C17,C57,K65,K66,N73,N99,R88,Z49","C48,C56,C57",0.07692307692307693,"C05.2,C10.0,C16.0,C16.4,C17.0,C17.1,C17.2,C57.00,C57.01,C57.02,K65.1,K66.0,N73.6,N99.4,R88.0,Z49.02,Z49.32","C48.2,C56,C57.0",0.0,
patient_dropout_rate_yn,Phase4,NCT00850603,Meningitis; Meningococcal Infections,A00-B99,"A00-B99,G00-G99",0.5,"A01,A02,A17,A20,A32,A39,A42","A39,G03",0.125,"A01.01,A02.21,A17.0,A20.3,A32.11,A39.0,A42.81","A39,G03.9",0.0,
patient_dropout_rate_yn,Phase3,NCT01318694,Hepatitis C,A00-B99,A00-B99,1.0,"B15,B17,B18,B19",B19,0.25,"B15.0,B15.9,B17.10,B17.11,B18.2,B19.20,B19.21",B19.2,0.0,
patient_dropout_rate_yn,Phase4,NCT01787097,Chronic Obstructive Lung Disease,"G00-G99,I00-I99,J00-J99,N00-N99,P00-P96",J00-J99,0.2,"G47,G91,I42,J05,J44,N11,P28",J44,0.14285714285714285,"G47.33,G91.1,I42.1,J05.0,J44.9,N11.1,P28.42",J44.9,0.14285714285714285,
mortality_rate_yn,Phase2,NCT04748783,COVID19; Coronavirus Infection; SARS CoV-2 Infection,"A00-B99,U00-U85,Z00-Z99","A00-B99,J00-J99,U00-U85",0.5,"B34,U07,U09,Z11,Z20,Z28,Z86","B34,J12,U07",0.25,"B34.2,U07.1,U09.9,Z11.52,Z20.822,Z28.310,Z28.311,Z86.16","B34.2,J12.81,U07.1",0.2222222222222222,
serious_adverse_rate_yn,Phase3,NCT04910165,"Arthritis Knee; Opioid Use; Pain, Postoperative","F01-F99,M00-M99","F01-F99,I00-I99,M00-M99",0.6666666666666666,"F11,M00","F11,I97,M17",0.25,"F11.90,F11.94,F11.959,F11.981,F11.982,F11.988,F11.99,M00.061,M00.062,M00.069,M00.161,M00.162,M00.169,M00.261","F11.9,I97.0,M17",0.0,
outcome,Phase2,NCT01355562,Melanoma; Metastatic Kidney Cancer,C00-D49,C00-D49,1.0,"C43,D03,D17,D30,D41","C43,C79",0.16666666666666666,"C43.0,C43.31,C43.4,C43.51,C43.9,D03.0,D03.9,D17.71,D30.00,D30.01,D30.02,D41.00,D41.01,D41.02","C43,C79.0",0.0,
serious_adverse_rate_yn,Phase3,NCT02773368,"Diabetes; Diabetes Mellitus, Type 2","E00-E89,N00-N99,O00-O9A,P00-P96,Z00-Z99",E00-E89,0.2,"E10,E11,E23,N25,O24,P70,Z83,Z86",E11,0.125,"E10.65,E11.21,E11.36,E11.41,E11.42,E11.44,E11.65,E11.9,E23.2,N25.1,O24.92,P70.2,Z83.3,Z86.32",E11,0.0,
patient_dropout_rate_yn,Phase2,NCT00194779,Estrogen Receptor-negative Breast Cancer; Estrogen Receptor-positive Breast Cancer; HER2-positive Breast Cancer; Progesterone Receptor-negative Breast Cancer; Progesterone Receptor-positive Breast Cancer; Stage IA Breast Cancer; Stage IB Breast Cancer; Stage II Breast Cancer; Stage IIIA Breast Cancer,C00-D49,"C00-D49,O00-O9A,Z00-Z99",0.3333333333333333,"C44,C79,D24,D48,D49","C50,C79,O91,Z17",0.125,"C44.501,C79.81,D24.1,D24.2,D24.9,D48.60,D49.3","C50.91,C79.81,O91.111,O91.113,Z17.0,Z17.1,Z17.21,Z17.22,Z17.410",0.06666666666666667,
outcome,Phase3,NCT01470287,Diphtheria; Hemophilus Influenzae B; Hepatitis B; Pertussis; Tetanus,A00-B99,A00-B99,1.0,"B16,B17,B18,B19","A33,A36,A37,A49,B19",0.125,"B16.0,B16.1,B17.0,B18.0,B18.1,B19.10,B19.11","A33,A36,A37.0,A49.2,B19.1",0.0,
mortality_rate_yn,Phase4,NCT03988842,Pulmonary Embolism; Pulmonary Embolism Subacute Massive; Pulmonary Embolism With Acute Cor Pulmonale; Pulmonary Embolism With Pulmonary Infarction; Right Ventricular Dysfunction; Right Ventricular Failure,"I00-I99,Z00-Z99",I00-I99,0.5,"I26,I27,Z86","I26,I50",0.25,"I26.01,I26.09,I26.90,I26.93,I26.99,I27.82,Z86.711","I26,I26.0,I26.94,I50.81",0.0,
patient_dropout_rate_yn,Phase3,NCT03422198,Endometrial Clear Cell Adenocarcinoma; Endometrial Endometrioid Adenocarcinoma; Endometrial Serous Adenocarcinoma; Stage I Uterine Corpus Cancer; Stage IA Uterine Corpus Cancer; Stage IB Uterine Corpus Cancer; Stage II Uterine Corpus Cancer; Uterine Corpus Carcinosarcoma; Uterine Corpus Sarcoma,C00-D49,"C00-D49,N00-N99,O00-O9A",0.3333333333333333,"C22,C4A,C54,C7B,D09,D26","C54,N80,O34",0.125,"C22.0,C22.1,C4A.0,C4A.31,C4A.51,C4A.8,C4A.9,C54.8,C54.9,C7B.1,D09.9,D26.1","C54,C54.1,N80.0,N80.01,O34.1,O34.11,O34.12",0.0,
failure_reason,Phase3,NCT00382811,Fallopian Tube Cancer; Ovarian Cancer; Peritoneal Neoplasms,"C00-D49,K00-K95,N00-N99,R00-R99,Z00-Z99",C00-D49,0.2,"C05,C10,C16,C17,C57,K65,K66,N73,N99,R88,Z49","C48,C56,C57",0.07692307692307693,"C05.2,C10.0,C16.0,C16.4,C17.0,C17.1,C17.2,C57.00,C57.01,C57.02,K65.1,K66.0,N73.6,N99.4,R88.0,Z49.02,Z49.32","C48.2,C56,C57.0",0.0,
patient_dropout_rate_yn,Phase3,NCT04348656,COVID-19,"U00-U85,Z00-Z99",U00-U85,0.5,"U07,U09,Z11,Z20,Z28,Z86",U07,0.16666666666666666,"U07.1,U09.9,Z11.52,Z20.822,Z28.310,Z28.311,Z86.16",U07.1,0.14285714285714285,
